number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop (Trialed),Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Engineering CAD,Entomology,Experimental Design,Fermi Questions (Trial),Forensics,GeoWizard,Helicopter,History of Science,Hovercraft,Machines,Materials Science,Pokémon Trivia (Trial),Remote Sensing,Robot Tour,Rocket Science,Rocks and Minerals,Science Word,Silicon Showdown,Water Quality,We've Got Your Number (Trial)
29,Seven Lakes High School,Blue,,Katy,TX,,1,72,2,2,7,2,3,1,5,2,6,1,2,11,1,3,3,3,6,1,44,4,3,8,22,2,4,44,7,7,6,1,3
28,Seven Lakes High School,Orange,,Katy,TX,,2,81,11,1,1,16,4,8,3,6,2,3,3,8,2,1,44,4,20,7,1,9,2,11,20,3,3,3,6,8,17,2,44
23,Liberal Arts and Science Academy,Chopped,,Austin,TX,,3,101,1,5,6,16,2,5,1,3,1,4,12,1,25,7,4,1,44,18,44,3,14,6,44,6,26,2,5,9,4,3,8
41,Jordan High School,Black,,Fulshear,TX,,4,125,9,16,28,5,1,6,4,12,21,2,5,2,3,8,7,6,12,5,9,2,19,1,1,1,1,19,1,4,24,15,44
47,William P. Clements High School,A,,Sugar Land,TX,,5,145,5,3,19,16,7,13,8,5,3,6,14,17,4,6,2,2,4,3,2,23,23,4,44,10,44,9,8,44,7,5,44
40,Jordan High School,Gold,,Fulshear,TX,,6,152,8,4,4,7,10,11,7,7,13,5,1,4,16,4,44,22,21,2,12,12,4,10,44,4,6,44,2,23,10,12,19
13,Bridgeland High School,Orange,,Cypress,TX,,7,213,10,11,26,1,20,29,15,15,7,9,13,19,8,10,12,18,16,4,4,5,7,15,5,9,5,7,27,1,5,26,1
42,BASIS Cedar Park,A,,Cedar Park,TX,,8,213,19,7,9,16,32,2,9,11,4,14,7,5,13,2,25,13,8,28,26,21,9,12,44,8,7,24,3,44,22,8,44
11,Obra D. Tompkins High School,A,,Katy,TX,,9,253,7,25,27,16,13,10,6,4,14,7,25,43,5,26,1,20,2,8,16,20,22,2,2,5,43,6,21,6,9,30,20
33,American Heritage School - Broward,Acids,,Plantation,FL,,10,258,34,9,5,16,9,4,10,14,12,33,11,7,23,12,10,16,30,12,17,26,10,7,24,16,24,1,4,44,12,23,18
14,Bridgeland High School,Blue,,Cypress,TX,,11,299,16,13,3,16,22,15,34,23,18,26,8,18,11,11,17,7,11,11,14,16,20,18,18,31,20,8,18,12,27,9,16
35,Stephen F. Austin High School,Black,,Austin,TX,,12,316,14,14,22,3,14,25,18,19,5,31,44,15,22,9,11,15,29,15,3,10,16,16,12,20,44,14,13,14,14,14,25
48,William P. Clements High School,B,,Sugar Land,TX,,13,318,12,24,20,44,5,38,17,18,9,8,26,16,10,22,44,14,3,30,10,22,21,5,44,19,43,12,17,44,18,16,44
24,Liberal Arts and Science Academy,Locked,,Austin,TX,,14,344,30,10,2,44,15,28,2,25,17,16,21,24,14,16,44,5,13,10,44,6,13,26,44,21,13,44,34,17,44,36,21
3,Westlake High School,,,Austin,TX,,15,348,6,29,44,44,24,9,14,8,19,13,26,13,24,5,44,30,44,9,5,13,8,37,44,37,10,44,25,10,44,11,44
26,Saint John's School,Red,,Houston,TX,,16,367,32,12,17,8,12,12,32,24,33,39,33,3,6,24,21,17,7,44,24,30,18,19,13,15,27,5,12,15,23,13,9
34,American Heritage School - Broward,Bases,,Plantation,FL,,17,413,22,28,8,16,18,31,28,9,20,24,16,12,37,18,5,10,44,22,44,25,6,22,15,34,12,44,30,5,28,19,5
12,Obra D. Tompkins High School,B,,Katy,TX,,18,418,15,6,11,15,16,24,25,13,10,20,24,21,36,29,8,9,18,20,23,44,32,27,3,29,21,23,31,20,25,18,10
7,Fulshear High School,Purple,,Fulshear,TX,,19,421,13,26,33,16,11,26,16,20,23,23,20,32,15,34,26,27,23,21,13,17,24,36,14,14,29,11,32,29,13,7,14
46,McNeil High IB World School,,,Austin,TX,,20,432,4,21,44,44,33,38,23,31,8,44,9,35,38,13,44,12,44,16,11,18,26,25,44,25,2,17,44,24,19,22,44
36,Stephen F. Austin High School,Red,,Austin,TX,,21,437,33,22,18,14,17,14,30,34,16,11,22,6,20,14,12,24,22,43,29,15,29,20,7,26,18,28,26,28,20,21,13
27,BASIS Pflugerville,,,Pflugerville,TX,,22,443,24,35,21,33,21,32,22,22,29,21,17,26,40,21,44,11,17,17,44,7,25,21,8,11,19,20,10,36,44,29,15
19,Hendrickson High School,BearNye,,Pflugerville,TX,,23,449,28,20,44,11,23,3,26,33,15,36,44,14,17,32,44,25,1,44,22,44,15,24,10,17,44,15,24,33,16,10,44
1,Austin Area Homeschoolers,,,Austin,TX,,24,456,42,8,25,6,6,7,21,41,44,19,23,10,44,44,15,34,9,43,30,19,44,44,44,18,9,13,39,11,2,27,4
5,Rouse High School,2,,Leander,TX,,25,461,17,32,44,4,44,38,36,10,27,18,18,44,28,25,6,26,15,44,27,1,44,17,44,13,23,27,20,16,3,24,11
4,Rouse High School,1,,Leander,TX,,26,465,18,18,15,44,26,16,24,26,28,30,44,22,12,30,9,28,10,44,18,44,1,44,23,27,17,18,40,30,11,44,12
17,Prestonwood Christian Academy,Cheddar,,Plano,TX,,27,469,26,23,23,32,25,22,11,32,11,10,26,33,34,19,27,29,44,13,44,8,28,23,44,12,22,31,29,13,44,35,44
38,Cinco Ranch High School,White,,Katy,TX,,28,479,27,15,44,44,30,19,19,30,25,12,15,44,21,23,44,19,44,44,44,44,17,3,44,7,15,44,22,22,44,6,44
25,Cypress Falls High School,Team A,,Houston,TX,,29,484,29,30,31,34,28,38,13,40,24,25,10,25,9,31,16,8,32,24,31,27,12,35,9,38,25,26,11,2,31,33,2
44,Roosevelt High School,Red,,San Antonio,TX,,30,488,25,33,29,16,37,21,33,36,22,29,19,28,30,15,44,36,25,6,8,24,27,32,4,30,44,22,16,26,1,20,44
43,BASIS Cedar Park,B,,Cedar Park,TX,,31,489,3,27,16,16,8,17,12,1,35,35,26,44,31,28,24,21,26,26,15,44,44,9,25,44,44,29,19,44,44,17,7
6,North Austin Science Alliance,Onyx,,Round Rock,TX,,32,506,21,17,44,44,31,20,20,21,38,22,6,9,33,44,19,44,31,14,20,44,44,31,21,35,14,44,14,18,8,39,44
18,Prestonwood Christian Academy,Swiss,,Plano,TX,,33,509,38,38,13,13,27,30,31,16,26,15,4,31,32,35,23,23,24,19,21,44,11,14,17,32,8,44,35,25,44,37,23
2,Griffin School,Green Team,,Austin,TX,,34,549,40,44,14,44,44,23,38,44,44,17,44,44,19,44,44,38,5,27,7,11,44,13,44,44,11,10,9,3,44,44,6
15,NYOS Charter School,,,Austin,TX,,35,549,36,40,30,16,35,36,35,17,31,38,26,44,7,33,22,37,14,44,6,44,30,29,44,22,16,25,23,31,26,4,44
30,Gene Tomas High School,Team A,,Richmond,TX,,36,608,20,41,34,35,34,27,29,27,30,40,44,34,44,17,14,32,28,43,19,31,34,39,11,44,28,16,15,19,21,34,22
8,Fulshear High School,White,,Fulshear,TX,,37,622,23,39,12,16,19,34,41,28,37,27,32,30,27,37,18,33,36,44,28,29,31,34,6,23,31,21,37,27,29,31,24
9,John B. Connally High School,Black,,Austin,TX,,38,680,31,31,10,31,38,35,27,38,36,44,44,44,18,38,44,44,19,25,44,44,37,33,44,38,44,4,44,21,44,25,17
16,Bellville High School,,,Bellville,TX,,39,723,39,44,24,8,44,37,42,37,34,32,26,44,39,36,20,40,33,29,25,14,35,44,19,28,30,44,38,35,30,40,44
20,Hendrickson High School,ManiMarg,,Pflugerville,TX,,40,728,43,37,44,16,29,33,39,35,39,34,44,20,29,27,28,44,35,44,44,44,5,38,16,44,44,30,36,34,15,38,44
45,Roosevelt High School,Blue,,San Antonio,TX,,41,749,37,34,32,12,36,44,43,42,32,28,44,29,26,44,44,39,27,23,44,28,36,28,44,36,44,44,33,44,44,28,44
10,John B. Connally High School,Green,,Austin,TX,,42,803,41,36,44,10,44,38,37,39,44,37,44,23,35,44,44,31,34,44,44,44,33,30,44,33,44,44,28,32,44,32,44
39,Cinco Ranch High School,Maroon,,Katy,TX,,43,819,35,19,44,16,44,18,40,29,44,44,44,27,44,20,44,35,44,44,44,44,44,44,44,24,44,44,44,44,44,44,44