number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Brainrot Bonanza (Trial),Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Entomology,Forensics,Machines,Materials Science,Remote Sensing,Rocks and Minerals,Water Quality
10,Francis Lewis High School,A,,Queens,NY,,1,76,1,8,2,3,4,7,3,5,14,2,3,9,2,10,4,1
23,Marquette University High School,,,Milwaukee,WI,,2,92,3,1,47,9,18,1,4,2,4,1,1,13,7,4,5,19
33,Seven Lakes High School,,,Katy,TX,,3,94,4,7,47,1,5,10,1,16,3,16,4,5,4,7,8,3
11,Francis Lewis High School,B,,Queens,NY,,4,143,2,3,47,6,2,21,2,28,18,25,5,4,1,15,2,9
46,Westview High School,,,Portland,OR,,5,150,9,6,47,6,9,3,10,3,2,17,10,18,8,5,14,30
39,State College Area High School,I,,State College,PA,,6,165,7,19,6,20,22,15,7,15,6,8,7,7,12,6,7,7
7,Davis Senior High School,Cerulean,,Davis,CA,,7,171,11,4,16,9,15,5,11,7,9,25,2,9,15,26,15,8
27,Mission San Jose High School,B,,Fremont,CA,,8,175,6,4,12,2,1,12,5,11,10,47,22,5,6,3,27,14
28,Mission San Jose High School,C,,Fremont,CA,,9,177,8,2,47,29,8,26,28,12,28,3,22,2,5,1,1,2
3,Bayard Rustin High School,Blue,,West Chester,PA,,10,183,13,12,6,6,14,14,19,10,12,11,11,17,9,7,12,16
26,Mission San Jose High School,A,,Fremont,CA,,11,190,26,9,20,29,3,13,6,8,1,4,13,12,27,2,27,10
2,BASIS Cedar Park,A,Rebel Alliance,Cedar Park,TX,,12,202,26,13,47,12,6,2,47,4,8,4,5,16,23,12,8,16
9,Division Avenue High School,,,Levittown,NY,,13,244,22,26,6,5,27,22,16,21,17,19,12,19,24,7,3,4
21,Madison West High School,C,,Madison,WI,,14,246,16,47,47,14,13,6,24,17,7,12,9,27,17,16,11,10
15,George Ranch High School,,,Richmond,TX,,15,246,15,29,18,13,6,26,12,27,11,10,15,22,14,13,10,23
1,BASIS Cedar Park,B,Empire,Cedar Park,TX,,16,249,10,17,47,20,25,16,8,9,24,23,14,11,29,21,17,5
44,Gene Tomas High School,Green,,Richmond,TX,,17,262,18,11,16,20,16,4,14,20,22,20,19,24,13,20,13,28
34,Shaker High School,Blue,,Latham,NY,,18,264,26,15,12,27,16,11,15,19,15,9,22,15,19,19,6,30
45,Westlake High School,,,Austin,TX,,19,269,5,10,47,47,24,8,18,1,47,6,22,7,11,10,47,6
4,Bayard Rustin High School,Gold,,West Chester,PA,,20,307,12,22,2,23,26,20,9,17,16,22,17,28,28,17,21,29
38,Saint John's School,,,Houston,TX,,21,313,25,14,6,9,12,9,13,47,27,6,20,26,26,47,18,14
8,Davis Senior High School,Crimson,,Davis,CA,,22,315,17,27,18,14,23,19,23,13,47,13,8,1,22,47,16,25
35,Shaker High School,Freshmen,,Latham,NY,,23,331,26,16,2,19,11,25,27,24,25,21,22,29,16,22,27,21
36,Shaker High School,White,,Latham,NY,,24,349,18,28,12,24,29,23,22,23,21,25,22,25,25,24,19,21
41,State College Area High School,III,,State College,PA,,25,353,18,20,47,28,47,17,20,13,5,15,22,47,21,14,47,19
5,Bayard Rustin High School,Knights,,West Chester,PA,,26,356,18,24,47,18,29,24,26,25,20,47,17,21,18,23,22,24
12,Fulshear High School,Black,,Fulshear,TX,,27,446,47,22,6,14,18,47,47,5,23,47,20,47,47,18,26,18
43,Gene Tomas High School,Black,,Richmond,TX,,28,450,13,47,1,47,47,47,20,22,13,24,47,13,3,47,47,13
40,State College Area High School,II,,State College,PA,,29,452,26,20,21,26,21,26,47,47,28,18,47,47,20,47,20,12
13,Fulshear High School,Purple,,Fulshear,TX,,30,477,26,24,12,29,28,47,47,47,26,25,15,20,47,25,24,47
16,Griffin School,,,Austin,TX,,31,481,24,47,47,25,20,47,25,47,19,47,47,23,10,47,27,26
37,Saint Agnes Academy,,,Houston,TX,,32,526,23,18,2,4,47,18,17,47,47,47,47,47,47,47,23,47
22,Madison West High School,D,,Madison,WI,,33,555,26,47,47,14,47,47,47,26,47,14,47,47,47,47,25,27
14,Fulshear High School,White,,Fulshear,TX,,34,567,47,30,6,47,10,47,47,47,28,47,47,3,47,26,47,47
6,Davis Senior High School,Amethyst,,Davis,CA,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
17,Hightower High School,,,Missouri City,TX,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
18,John B. Connally High School,,,Austin,TX,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
19,Liberal Arts and Science Academy,Eukaryotes,,Austin,TX,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
20,Liberal Arts and Science Academy,Prokaryotes,,Austin,TX,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
24,McNeil High IB World School,A,,Austin,TX,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
25,McNeil High IB World School,B,,Austin,TX,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
29,Palo Alto High School,Black,,Palo Alto,CA,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
30,Palo Alto High School,Green,,Palo Alto,CA,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
31,Palo Alto High School,White,,Palo Alto,CA,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
32,Phillips Academy,,,Andover,MA,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
42,Stratford Preparatory School,,,San Jose,CA,,35,705,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47