number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Botany (Trial),Bungee Drop,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Entomology,Experimental Design,Forensics,GeoWizard (Trial),Helicopter,History of Science (Trial),Hovercraft,Integration Bee (Trial),Machines,Materials Science,Remote Sensing,Robot Tour,Rocks and Minerals,Science Word (Trial),Water Quality
7,BASIS Cedar Park,A,,Cedar Park,TX,,1,58,6,1,1,16,1,3,1,1,2,1,3,2,4,2,1,2,7,3,3,16,2,5,1,7,1,6,3
4,Kempner High School,A,,Sugar Land,TX,,2,91,4,2,4,16,3,4,10,3,6,2,1,5,1,4,7,8,1,5,7,6,3,10,2,1,4,7,7
15,Cypress Falls High School,A,,Houston,TX,,3,125,8,6,11,5,8,1,4,2,7,3,9,1,3,8,3,7,6,9,5,3,6,4,3,8,2,1,17
5,Kempner High School,B,,Sugar Land,TX,,4,137,3,4,2,16,9,9,7,5,5,6,4,4,12,11,9,10,3,8,6,16,5,8,4,6,3,16,12
11,Jersey Village High School,A,,Houston,TX,,5,164,1,5,7,2,5,6,9,6,9,4,5,3,8,1,12,4,16,6,16,2,11,11,16,2,7,3,4
1,Bellville High School,A,,Bellville,TX,,6,177,9,10,10,6,4,10,6,9,10,9,11,7,10,10,8,16,4,10,2,16,7,9,7,9,5,4,11
14,Langham Creek High School,A,,Houston,TX,,7,189,5,7,16,3,16,5,2,8,12,7,7,16,6,6,2,6,16,7,16,1,1,2,6,16,9,2,8
9,Bellville High School,B,,Bellville,TX,,8,209,10,11,9,16,6,16,13,10,11,11,12,8,9,9,11,11,8,16,4,16,17,3,10,5,6,16,10
12,Katy High School,A,,Katy,TX,,9,222,2,8,5,7,16,7,8,4,8,13,6,16,11,16,10,3,16,16,16,4,10,7,5,16,16,5,6
8,BASIS Cedar Park,B,,Cedar Park,TX,,10,224,16,16,3,16,2,8,11,16,4,12,13,16,7,16,6,16,16,16,1,16,12,16,8,4,16,16,5
10,Kingwood High School,A,,Kingwood,TX,,11,230,16,16,6,16,16,2,5,16,16,14,2,6,2,5,16,5,16,2,16,5,8,1,16,3,16,16,16
13,Katy High School,B,,Katy,TX,,12,241,7,9,16,4,16,16,12,7,1,8,16,16,16,3,16,1,16,4,16,6,4,12,9,16,8,16,1
2,Lawrence E. Elkins High School,A,,Missouri City,TX,,13,269,16,3,16,16,16,17,16,16,16,5,8,16,16,7,5,16,5,1,16,16,9,16,16,16,16,16,2
3,Lawrence E. Elkins High School,B,,Missouri City,TX,,14,294,16,16,16,16,7,16,3,16,16,16,16,16,16,16,4,16,2,16,16,16,16,6,16,16,16,16,16
6,School of Science and Technology,A,,San Antonio,TX,,15,301,16,16,8,1,16,16,16,16,3,10,10,16,5,16,16,9,16,16,16,16,16,16,16,16,16,16,9